dataset,model,f1_macro,precision,recall,accuracy,mcc,balanced_acc,specificity,npv,fpr,tp,fp,fn,tn
UGRansome2024,Baseline,0.6274307998211599,0.3828125,0.7056382719062729,0.6735477409303361,0.314228975486379,0.6848551719891725,0.6640720720720721,0.8842610364683301,0.3359279279279279,2891,4661,1206,9214
CICIoT2023,Baseline,0.598641189125416,0.9963066624347173,0.8842479961074547,0.883785473184148,0.3346675629962,0.8744707210981248,0.864693446088795,0.15324091420007493,0.13530655391120508,34529,128,4520,818
