dataset,model,f1_macro,f1_attack,f1_benign,precision,recall,accuracy,auc_roc,pr_auc,mcc,balanced_acc,specificity,npv,fpr,f1_macro_lo,f1_macro_hi,f1_attack_lo,f1_attack_hi,f1_benign_lo,f1_benign_hi,precision_lo,precision_hi,recall_lo,recall_hi,accuracy_lo,accuracy_hi,auc_roc_lo,auc_roc_hi,pr_auc_lo,pr_auc_hi,mcc_lo,mcc_hi,balanced_acc_lo,balanced_acc_hi,specificity_lo,specificity_hi,npv_lo,npv_hi,fpr_lo,fpr_hi
UGRansome2024,RandomForest,0.99108,0.986235,0.995926,0.984436,0.98804,0.993712,0.999857,0.999519,0.982163,0.991714,0.995387,0.996465,0.004613,0.989538,0.992694,0.983912,0.988724,0.995192,0.996672,0.980801,0.988052,0.984697,0.990982,0.992654,0.994881,0.999816,0.999895,0.999384,0.999649,0.979078,0.985391,0.99002,0.993363,0.994286,0.996465,0.995455,0.997361,0.003535,0.005714
UGRansome2024,DecisionTree,0.992731,0.988778,0.996684,0.988296,0.98926,0.994881,0.993218,0.98226,0.985462,0.9929,0.996541,0.996828,0.003459,0.991325,0.994111,0.986585,0.990924,0.99602,0.997337,0.985024,0.991371,0.986128,0.992069,0.993879,0.995882,0.991657,0.994682,0.978771,0.985909,0.982651,0.988223,0.991274,0.994349,0.995563,0.997463,0.995906,0.997689,0.002537,0.004437
UGRansome2024,XGBoost,0.994416,0.991395,0.997436,0.984593,0.998291,0.996049,0.999939,0.999793,0.988871,0.996839,0.995387,0.999493,0.004613,0.993178,0.995667,0.989458,0.993318,0.996848,0.998012,0.980983,0.98816,0.997037,0.999511,0.995159,0.99694,0.999918,0.999959,0.999721,0.999861,0.986411,0.991361,0.995982,0.997662,0.994277,0.996437,0.999129,0.999855,0.003563,0.005723
UGRansome2024,LogisticRegression,0.895109,0.841029,0.949189,0.794315,0.893581,0.922991,0.948168,0.801875,0.792835,0.912628,0.931676,0.967373,0.068324,0.889822,0.899933,0.83264,0.848548,0.946638,0.951817,0.783328,0.805604,0.883904,0.902171,0.919205,0.926779,0.944687,0.951113,0.789295,0.814057,0.782469,0.802306,0.907188,0.917572,0.927449,0.935645,0.964299,0.970186,0.064355,0.072551
