dataset,model,f1_macro,f1_attack,f1_benign,precision,recall,accuracy,auc_roc,pr_auc,mcc,balanced_acc,specificity,npv,fpr,tp,fp,fn,tn,training_time_sec,cv_f1_mean,cv_f1_std
UGRansome2024,RandomForest,0.9910801730779422,0.9862346205384335,0.9959257256174509,0.9844357976653697,0.9880400292897242,0.9937124415757845,0.9998570784599586,0.9995191203714616,0.9821631177091783,0.9917137083385559,0.9953873873873874,0.9964646464646465,0.004612612612612613,4048,64,49,13811,2.358,0.9921,0.0006
UGRansome2024,DecisionTree,0.9927309787016987,0.9887777506708954,0.996684206732502,0.9882955376737381,0.9892604344642422,0.9948809258847096,0.993218373364822,0.9822604096805628,0.98546215528995,0.9929004875023913,0.9965405405405405,0.9968279143536876,0.0034594594594594594,4053,48,44,13827,0.304,0.9931,0.0007
UGRansome2024,XGBoost,0.9944155788165517,0.9913949824263726,0.9974361752067309,0.9845931632161772,0.9982914327556749,0.9960494101936346,0.9999386762891767,0.999792751536428,0.9888710681132198,0.9968394100715312,0.9953873873873874,0.9994934143870314,0.004612612612612613,4090,64,7,13811,0.659,0.9948,0.0008
UGRansome2024,LogisticRegression,0.8951089044040529,0.8410291752814151,0.9491886335266907,0.7943154697331308,0.8935806687820357,0.922991319830848,0.9481675055577911,0.8018753324417192,0.7928353604138108,0.9126281722288556,0.9316756756756757,0.967372595973958,0.06832432432432432,3661,948,436,12927,0.478,0.888,0.0034
CICIoT2023,RandomForest,0.962161786087326,0.9982204355451997,0.9261031366294524,0.9980798771121352,0.9983610335732029,0.9965245655706964,0.9995302833318815,0.9999883308421975,0.9243402105868244,0.9595399248204282,0.9207188160676533,0.9315508021390374,0.07928118393234672,38985,75,64,871,5.052,0.9617,0.0038
CICIoT2023,DecisionTree,0.9493068973226673,0.9976450110070137,0.9009687836383208,0.997211063633805,0.9980793362185971,0.9953994249281161,0.9414286744517933,0.9971709908657699,0.8987723379887763,0.9414286744517932,0.8847780126849895,0.9177631578947368,0.11522198731501057,38974,109,75,837,0.833,0.9525,0.0028
CICIoT2023,XGBoost,0.9464264904115987,0.9971883786316776,0.8956646021915198,0.9998455280366614,0.9945453148608159,0.9945243155394424,0.9993494106742994,0.9999843225058732,0.8974932063436666,0.994101410073114,0.9936575052854123,0.8152645273200347,0.006342494714587738,38836,6,213,940,1.263,0.9414,0.0012
CICIoT2023,LogisticRegression,0.8283367693725769,0.9889692585895118,0.667704280155642,0.9977066013395534,0.9803836205792722,0.9786473309163646,0.9854465931755825,0.999151101904118,0.6832127801231355,0.9436801823826593,0.9069767441860465,0.5283251231527094,0.09302325581395349,38283,88,766,858,6.871,0.8379,0.0048
