dataset,best_model,baseline_fp,baseline_fn,ml_fp,ml_fn,n_test_flows,n_test_attacks,baseline_false_alerts_per_1000,ml_false_alerts_per_1000,false_alerts_reduction_pct,baseline_fp_per_100k_flows,ml_fp_per_100k_flows,baseline_fn_per_100k_attack_flows,ml_fn_per_100k_attack_flows,missed_attacks_reduction_pct,false_alerts_avoided,time_saved_minutes,time_saved_hours
CICIoT2023,RandomForest,128,4520,75,64,39995,39049,3.6933,1.9201,48.0112,320.04,187.5234,11575.2004,163.8966,98.5841,53,159,2.65
UGRansome2024,XGBoost,4661,1206,64,7,17972,4097,617.1875,15.4068,97.5037,25934.7874,356.1095,29436.1728,170.8567,99.4196,4597,13791,229.85
